func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg2_l20_w00_c200,mssp3-n160-d30-04,399.6049750512769,677.9001,677.9001,0.0,0.115371055,399.48960399627686,384.5102545509999,384.457411491,96,83,2447,492,4085,202,284,88.0,284,88
cg2_l20_w00_c200,mssp3-n160-d30-05,422.9630666245076,864.9001000000003,864.9001000000003,0.0,0.022490548,422.94057607650757,416.18021020799995,416.1340730140002,78,70,1420,492,3944,202,273,75.0,272,74
cg2_l20_w00_c400,mssp3-n100-d10-01,25.166964795397583,1781.857314285713,1781.857314285713,0.0,0.063035991,25.103928804397583,24.685768329000002,24.521402231000003,151,142,69,584,618,402,548,175.0,547,173
cg2_l20_w00_c400,mssp3-n100-d10-02,30.66246314700403,1823.2251708333329,1823.2251708333329,0.0,0.029037196,30.63342595100403,30.132996454000008,29.976666356999992,151,141,123,584,614,402,565,375.0,565,375
cg2_l20_w00_c400,mssp3-n100-d10-03,49.54770818292053,1769.9354561151094,1769.9354561151094,0.0,0.056081205,49.49162697792053,48.84521005200001,48.61714859999999,210,200,141,584,625,402,618,613.0,614,516
cg2_l20_w00_c400,mssp3-n100-d10-04,24.97340553107617,1813.223164342311,1813.223164342311,0.0,0.039220503,24.934185028076172,24.554237331000003,24.28493455,179,170,60,584,598,402,579,225.0,578,221
cg2_l20_w00_c400,mssp3-n100-d10-05,38.539096357435426,2008.8856513966507,2008.8856513966507,0.0,0.039904358,38.499191999435425,37.825957937000005,37.65184962200001,159,149,180,584,603,402,561,272.0,560,266
cg2_l20_w00_c400,mssp3-n100-d15-01,60.0737372009773,1567.6502499999972,1567.6502499999974,0.0,0.056598243,60.017138957977295,59.455746566000016,59.20067454000003,221,210,85,584,862,402,618,301.0,618,299
cg2_l20_w00_c400,mssp3-n100-d15-02,16.97318469961499,1368.8001,1368.8001,0.0,0.029270763,16.94391393661499,16.639131249,16.496084008000004,72,65,29,584,858,402,470,81.0,469,79
cg2_l20_w00_c400,mssp3-n100-d15-03,36.38243800404541,1446.7820181818176,1446.7820181818179,0.0,0.06124717,36.32119083404541,35.82452455300003,35.61434270599999,184,174,89,584,866,402,583,230.0,583,230
cg2_l20_w00_c400,mssp3-n100-d15-04,72.89694681468409,1443.656853333333,1443.656853333333,0.0,0.051116851,72.84582996368408,71.66845323099996,71.28933303500004,333,320,359,584,906,402,727,383.0,725,376
cg2_l20_w00_c400,mssp3-n100-d15-05,28.70598207113843,1175.2001,1175.2001,0.0,0.006101948,28.699880123138428,28.283704742,28.184652656000008,89,81,43,584,882,402,485,130.0,485,130
cg2_l20_w00_c400,mssp3-n100-d20-01,10.278666276797608,1016.3001000000006,1016.3001000000006,0.0,0.067359228,10.211307048797607,9.979570492000002,9.853476931999998,39,35,21,584,1167,402,441,115.0,440,114
cg2_l20_w00_c400,mssp3-n100-d20-02,40.01541215434546,1210.6001999999999,1210.6001999999999,0.0,0.039035144,39.97637701034546,39.492161772,39.32476306499999,160,151,114,584,1105,402,563,321.0,562,319
cg2_l20_w00_c400,mssp3-n100-d20-03,18.204965169469116,932.7001000000001,932.7001000000001,0.0,0.058952148,18.146013021469116,17.825582500999996,17.754860716999996,69,64,40,584,1084,402,474,94.0,472,85
cg2_l20_w00_c400,mssp3-n100-d20-04,24.06955220252539,1003.100100000002,1003.1001000000019,0.0,0.049498339,24.02005386352539,23.576435128,23.372340721000004,73,66,55,584,1076,402,472,111.0,472,111
cg2_l20_w00_c400,mssp3-n100-d20-05,34.294683158129885,1061.3001,1061.3001,0.0,0.0619542,34.23272895812988,33.702698897,33.581758756,119,107,146,584,1142,402,514,202.0,514,202
cg2_l20_w00_c400,mssp3-n100-d30-01,32.04748725303589,664.2001000000001,664.2001000000001,0.0,0.08232736,31.96515989303589,30.983505865999994,30.838348561000004,82,71,416,584,1642,402,471,71.0,471,71
cg2_l20_w00_c400,mssp3-n100-d30-02,24.656714361403687,949.4001,949.4001000000001,0.0,0.050021332,24.606693029403687,24.22937182,24.142649806999994,82,74,29,584,1603,402,492,355.0,488,295
cg2_l20_w00_c400,mssp3-n100-d30-03,15.208494863416504,751.8002000000001,751.8002000000001,0.0,0.042676649,15.165818214416504,14.261602033000003,14.209621653,56,49,352,584,1631,402,452,92.0,451,84
